requirement_id,parent_id,requirement,authoritative_source,source_ref,implementation_paths,test_paths,verification_command,proof_artifacts,proof_head_sha,evidence_status,task_status,notes
CDB026,CDB026,Implement static include and path edge detection,execution/TASK_GRAPH.csv,CDB026,crates/codedb_rust_static/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb026-stdout;stderr:cdb026-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB027,CDB027,Implement native and linker static rows without dynamic overclaim,execution/TASK_GRAPH.csv,CDB027,crates/codedb_rust_static/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb027-stdout;stderr:cdb027-stderr,,verified,complete,Static coverage is not approved dynamic native-link proof
CDB028,CDB028,Implement clean and dirty repository no-mutation proof,execution/TASK_GRAPH.csv,CDB028,crates/codedb_core/**;tests/test_no_mutation.nu,tests/test_no_mutation.nu,nu --no-config-file tests/test_no_mutation.nu,stdout:cdb028-stdout;stderr:cdb028-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB029,CDB029,Implement codedb scan export and schema CLI with JSON NUON and CSV,execution/TASK_GRAPH.csv,CDB029,crates/codedb/**,crates/codedb/**,cargo test -p codedb,stdout:cdb029-stdout;stderr:cdb029-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB030,CDB030,Implement Nushell plugin commands and table-shaped smoke proof,execution/TASK_GRAPH.csv,CDB030,crates/nu_plugin_codedb/**,tests/test_transient_plugin.nu,nu --no-config-file tests/test_transient_plugin.nu,stdout:cdb030-stdout;stderr:cdb030-stderr,,verified,complete,Current-head transient Nushell plugin proof returns table-shaped output
CDB031,CDB031,Implement doctor checks for Nu Yazelix and Codex,execution/TASK_GRAPH.csv,CDB031,crates/codedb/**,crates/codedb/**,cargo test -p codedb,stdout:cdb031-stdout;stderr:cdb031-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB032,CDB032,Implement bounded read-only MCP page limit and source guards,execution/TASK_GRAPH.csv,CDB032,crates/codedb_mcp/**;crates/codedb/src/main.rs,tests/test_codex_bounded_bridge.nu,nu --no-config-file tests/test_codex_bounded_bridge.nu,stdout:cdb032-stdout;stderr:cdb032-stderr,,verified,complete,Current-head bounded MCP bridge proof verifies page limits and source guards
CDB033,CDB033,Implement unsafe dynamic capture refusal without explicit approval flag,execution/TASK_GRAPH.csv,CDB033,crates/codedb_build_capture/**,tests/test_unsafe_capture.nu,nu --no-config-file tests/test_unsafe_capture.nu,stdout:cdb033-stdout;stderr:cdb033-stderr,,verified,complete,Refusal path alone does not prove positive capture
CDB034,CDB034,Implement mandatory approved build and proc-macro raw-log capture,execution/TASK_GRAPH.csv,CDB034,crates/codedb_build_capture/**;fixtures/build_script/**;fixtures/proc_macro/**,crates/codedb_build_capture/**,cargo test -p codedb-build-capture,stdout:cdb034-stdout;stderr:cdb034-stderr,,verified,complete,The legacy word optional is interpreted as mandatory
CDB035,CDB035,Implement backend-neutral envctl export contract,execution/TASK_GRAPH.csv,CDB035,crates/codedb/**;docs/ENVCTL_EXPORT_CONTRACT.md,crates/codedb/**,cargo test -p codedb,stdout:cdb035-stdout;stderr:cdb035-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB036,CDB036,Implement selected meta repository scan inputs without replacing meta ownership,execution/TASK_GRAPH.csv,CDB036,crates/codedb/**;docs/META_INTEGRATION.md,crates/codedb/**,cargo test -p codedb,stdout:cdb036-stdout;stderr:cdb036-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB037,CDB037,Implement Codex CLI and MCP bridge contract with bounded output,execution/TASK_GRAPH.csv,CDB037,docs/CODEX_BRIDGE.md;examples/codex/**,tests/test_codex_bounded_bridge.nu,nu --no-config-file tests/test_codex_bounded_bridge.nu,stdout:cdb037-stdout;stderr:cdb037-stderr,,verified,complete,Current-head release proof verifies the bounded Codex CLI and MCP bridge contract
CDB038,CDB038,Implement and document Yazelix host-runtime Nu placement,execution/TASK_GRAPH.csv,CDB038,tests/test_yazelix_enabled_smoke.nu,tests/test_yazelix_enabled_smoke.nu,nu --no-config-file tests/test_yazelix_enabled_smoke.nu,stdout:cdb038-stdout;stderr:cdb038-stderr,,verified,complete,Current-head Yazelix smoke proof verifies host-runtime Nushell placement
CDB039,CDB039,Implement runner-readable proof manifest contract,execution/TASK_GRAPH.csv,CDB039,crates/codedb/**;docs/RELEASE_GATE.md,crates/codedb/**,cargo test -p codedb,stdout:cdb039-stdout;stderr:cdb039-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB040,CDB040,Document GitKB RTK Kache wild and Fenix fact-export boundaries,execution/TASK_GRAPH.csv,CDB040,docs/INTEGRATION_CONTRACTS.md;scripts/validate_integration_contracts.py,tests/test_integration_contracts.py,python3 -m unittest tests.test_integration_contracts && python3 scripts/validate_integration_contracts.py,stdout:cdb040-stdout;stderr:cdb040-stderr;file:cdb040-integration-contract:repository:docs/INTEGRATION_CONTRACTS.md,,verified,complete,Nine direct negative/positive tests and the live validator prove all five ownership/export boundaries.
CDB041,CDB041,Create and document the complete fixture matrix,execution/TASK_GRAPH.csv,CDB041,crates/**,crates/**,cargo test --workspace,stdout:cdb041-stdout;stderr:cdb041-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB042,CDB042,Prove repeated unchanged scans have stable checksums,execution/TASK_GRAPH.csv,CDB042,tests/test_deterministic_scan.nu;crates/codedb/tests/**,tests/test_deterministic_scan.nu,nu --no-config-file tests/test_deterministic_scan.nu,stdout:cdb042-stdout;stderr:cdb042-stderr,,verified,complete,Current-head deterministic-scan proof verifies stable checksums
CDB043,CDB043,Prove source and MCP secret-looking data do not leak,execution/TASK_GRAPH.csv,CDB043,tests/test_security_no_leak.nu;tests/test_plugin_secret_guard.nu,tests/test_security_no_leak.nu,nu --no-config-file tests/test_security_no_leak.nu,stdout:cdb043-stdout;stderr:cdb043-stderr,,verified,complete,Current-head no-leak proof verifies source and MCP secret-looking data are redacted
CDB044,CDB044,Prove clean and dirty scans do not mutate source,execution/TASK_GRAPH.csv,CDB044,tests/test_no_mutation.nu,tests/test_no_mutation.nu,nu --no-config-file tests/test_no_mutation.nu,stdout:cdb044-stdout;stderr:cdb044-stderr,,verified,complete,Current-head no-mutation proof verifies clean and dirty scans preserve source
CDB045,CDB045,Prove unsafe capture refuses by default and succeeds only with approval,execution/TASK_GRAPH.csv,CDB045,tests/test_unsafe_capture.nu;crates/codedb_build_capture/**,tests/test_unsafe_capture.nu,nu --no-config-file tests/test_unsafe_capture.nu,stdout:cdb045-stdout;stderr:cdb045-stderr,,verified,complete,Current-head unsafe-capture proof verifies default refusal and explicit approval success
CDB046,CDB046,Run full fmt clippy test and doctor validation,execution/TASK_GRAPH.csv,CDB046,Cargo.toml;crates/codedb/src/main.rs;scripts/validate_task_graph.py,crates/codedb/src/main.rs;tests/test_task_graph_validator.py,cargo fmt --all -- --check && cargo clippy --workspace --all-targets --all-features -- -D warnings && cargo test --workspace && cargo run --quiet -p codedb -- doctor --nu --format json && cargo run --quiet -p codedb -- doctor --yazelix --format json && cargo run --quiet -p codedb -- doctor --codex --format json,stdout:cdb046-stdout;stderr:cdb046-stderr;file:cdb046-validation-log:repository:logs/CDB046-validation.log,,verified,complete,"Current-tree fmt, deny-warnings clippy, workspace tests, and all explicit doctor scopes passed; live PostgreSQL parity is separately bound by CDB086."
CDB047,CDB047,Generate release manifest with matching checksums,execution/TASK_GRAPH.csv,CDB047,scripts/truth_surface.py;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256;manifests/PACKAGE_VALIDATION.json,tests/test_truth_surface.py,python3 -m unittest tests.test_truth_surface && python3 scripts/truth_surface.py --check && python3 scripts/truth_surface.py --check-source,stdout:cdb047-stdout;stderr:cdb047-stderr;file:cdb047-pack-manifest:repository:manifests/PACK_MANIFEST.json;file:cdb047-checksums:repository:manifests/CHECKSUMS.sha256;file:cdb047-package-validation:repository:manifests/PACKAGE_VALIDATION.json,,verified,complete,Deterministic truth-surface tests and checksum/source checks directly prove the resealed manifests.
CDB048,CDB048,Prepare truthful handoff and mandatory remaining-work inventory,execution/TASK_GRAPH.csv,CDB048,HANDOFF.md;BACKLOG.md,tests/test_requirement_proof_ledger.py,python3 scripts/validate_requirement_proof_ledger.py --structure-only,stdout:cdb048-stdout;stderr:cdb048-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB049,CDB049,Inspect and cite the active Yazelix Nushell runtime bridge boundaries,execution/TASK_GRAPH.csv,CDB049,research/nushell_yazelix_cross_reference_report.md;docs/YAZELIX_NUSHELL_RUNTIME.md,tests/test_yazelix_enabled_smoke.nu,nu --no-config-file tests/test_yazelix_enabled_smoke.nu,stdout:cdb049-stdout;stderr:cdb049-stderr,,verified,complete,Source inspection candidate only; installed-runtime proof is separate
CDB050,CDB050,Package codedb and nu_plugin_codedb as profile-owned runtime tools,execution/TASK_GRAPH.csv,CDB050,flake.nix;packaging/codedb_runtime_tool.nix;docs/CODEDB_YAZELIX_RUNTIME_TOOL.md,tests/test_runtime_tool_contract.py,"python3 -m unittest tests.test_runtime_tool_contract && nix build .#checks.$(nix eval --raw --impure --expr builtins.currentSystem).codedb_runtime_tool_smoke --no-link --no-write-lock-file && runtime_out=""$(nix build .#codedb_runtime_tools --no-link --print-out-paths --no-write-lock-file)"" && ""$runtime_out/bin/codedb"" --version && test -x ""$runtime_out/bin/nu_plugin_codedb""",stdout:cdb050-stdout;stderr:cdb050-stderr;file:cdb050-runtime-package:repository:packaging/codedb_runtime_tool.nix,,verified,complete,"Contract tests, the current Nix package smoke, wrapped sandbox tool path, CLI version, and executable plugin frontdoor pass without profile mutation."
CDB051,CDB051,Validate host Nu and Yazelix runtime Nu protocol with explicit degradation,execution/TASK_GRAPH.csv,CDB051,crates/codedb/**;docs/NUSHELL_PLUGIN_COMPAT.md,crates/codedb/**,cargo test -p codedb,stdout:cdb051-stdout;stderr:cdb051-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB052,CDB052,Prove transient nu --plugins invocation returns table output,execution/TASK_GRAPH.csv,CDB052,tests/test_transient_plugin.nu,tests/test_transient_plugin.nu,nu --no-config-file tests/test_transient_plugin.nu,stdout:cdb052-stdout;stderr:cdb052-stderr,,verified,complete,Current-head transient plugin proof verifies table output
CDB053,CDB053,Prove isolated temp-HOME plugin registration leaves real HOME unchanged,execution/TASK_GRAPH.csv,CDB053,tests/test_plugin_registry.nu,tests/test_plugin_registry.nu,nu --no-config-file tests/test_plugin_registry.nu,stdout:cdb053-stdout;stderr:cdb053-stderr,,verified,complete,Current-head registry proof verifies isolated temp-HOME registration preserves real HOME
CDB054,CDB054,Generate provenance-bound CodeDB extern and init bridge without tracked config mutation,execution/TASK_GRAPH.csv,CDB054,crates/codedb/**;templates/nushell/**;docs/CODEDB_YAZELIX_INIT_CONTRACT.md,tests/test_init_provenance.nu,nu --no-config-file tests/test_init_provenance.nu,stdout:cdb054-stdout;stderr:cdb054-stderr,,verified,complete,Current-head init proof verifies provenance binding without tracked config mutation
CDB055,CDB055,Verify generated initializer checksums and provenance,execution/TASK_GRAPH.csv,CDB055,tests/test_init_provenance.nu;manifests/**,tests/test_init_provenance.nu,nu --no-config-file tests/test_init_provenance.nu,stdout:cdb055-stdout;stderr:cdb055-stderr,,verified,complete,Current-head init proof verifies generated checksums and provenance
CDB056,CDB056,Prove CodeDB Nushell syntax in an isolated HOME,execution/TASK_GRAPH.csv,CDB056,tests/test_nushell_syntax_gate.nu;docs/CODEDB_NUSHELL_SYNTAX_GATE.md,tests/test_nushell_syntax_gate.nu,nu --no-config-file tests/test_nushell_syntax_gate.nu,stdout:cdb056-stdout;stderr:cdb056-stderr,,verified,complete,Current-head syntax proof verifies CodeDB Nushell syntax in an isolated HOME
CDB057,CDB057,Prove plugin registration does not mutate the real HOME,execution/TASK_GRAPH.csv,CDB057,tests/test_no_real_home_plugin_registration.nu,tests/test_no_real_home_plugin_registration.nu,nu --no-config-file tests/test_no_real_home_plugin_registration.nu,stdout:cdb057-stdout;stderr:cdb057-stderr,,verified,complete,Current-head registration proof verifies the real HOME is not mutated
CDB058,CDB058,Prove Yazelix launch is unaffected when CodeDB is disabled,execution/TASK_GRAPH.csv,CDB058,tests/test_yazelix_disabled_smoke.nu;docs/YAZELIX_PLACEMENT.md,tests/test_yazelix_disabled_smoke.nu,nu --no-config-file tests/test_yazelix_disabled_smoke.nu,stdout:cdb058-stdout;stderr:cdb058-stderr,,verified,complete,Capability toggle may be optional but the disabled-mode proof is mandatory
CDB059,CDB059,Prove Yazelix launch with CodeDB avoids heavy startup import,execution/TASK_GRAPH.csv,CDB059,tests/test_yazelix_enabled_smoke.nu;docs/YAZELIX_PLACEMENT.md,tests/test_yazelix_enabled_smoke.nu,nu --no-config-file tests/test_yazelix_enabled_smoke.nu,stdout:cdb059-stdout;stderr:cdb059-stderr,,verified,complete,Current-head Yazelix smoke proof verifies startup avoids heavy import
CDB060,CDB060,Prove plugin stderr and trace output redact secret-looking values,execution/TASK_GRAPH.csv,CDB060,tests/test_plugin_secret_guard.nu;docs/SECURITY_AND_SECRET_POLICY.md,tests/test_plugin_secret_guard.nu,nu --no-config-file tests/test_plugin_secret_guard.nu,stdout:cdb060-stdout;stderr:cdb060-stderr,,verified,complete,Current-head secret-guard proof verifies stderr and trace redaction
CDB061,CDB061,Prove redb lock contention and plugin garbage-collection safety,execution/TASK_GRAPH.csv,CDB061,crates/codedb_store_redb/**;tests/test_redb_lifecycle.nu,tests/test_redb_lifecycle.nu,nu --no-config-file tests/test_redb_lifecycle.nu,stdout:cdb061-stdout;stderr:cdb061-stderr,,verified,complete,Backend-specific proof does not establish PostgreSQL parity
CDB062,CDB062,Prove bounded CLI and MCP output without raw source access,execution/TASK_GRAPH.csv,CDB062,tests/test_codex_bounded_bridge.nu;docs/CODEX_BRIDGE.md,tests/test_codex_bounded_bridge.nu,nu --no-config-file tests/test_codex_bounded_bridge.nu,stdout:cdb062-stdout;stderr:cdb062-stderr,,verified,complete,Current-head bounded-bridge proof verifies output limits without raw source access
CDB063,CDB063,Export envctl runtime tool and checksum rows without storage-internal coupling,execution/TASK_GRAPH.csv,CDB063,docs/ENVCTL_EXPORT_CONTRACT.md;crates/codedb/**,crates/codedb/**,cargo test -p codedb,stdout:cdb063-stdout;stderr:cdb063-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB077,CDB077,Prove compiler-observed macro expansion resolution and hygiene,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB077,crates/codedb_rust_static/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/compiler_capture_cli.rs;crates/codedb_rust_static/src/lib.rs,cargo test -p codedb --test compiler_capture_cli && cargo test -p codedb-rust-static,stdout:cdb077-stdout;stderr:cdb077-stderr;file:cdb077-macro-hir:repository:logs/compiler-observed/macro_rules/hir.txt;file:cdb077-macro-expansion:repository:logs/compiler-observed/macro_rules/macro_expansion.txt;file:cdb077-macro-resolution:repository:logs/compiler-observed/macro_rules/macro_resolution.rmeta;file:cdb077-macro-hygiene:repository:logs/compiler-observed/macro_rules/macro_hygiene.txt,,verified,complete,"Approved production CLI capture proves compiler-observed expansion, persisted binary resolution metadata, hygiene, pinned artifacts, refusal, and source immutability."
CDB078,CDB078,Prove default refusal and approved proc-macro inputs outputs and provenance,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB078,crates/codedb_build_capture/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/build_capture_cli.rs;crates/codedb_build_capture/tests/approved_build_frontdoor.rs,cargo test -p codedb --test build_capture_cli && cargo test -p codedb-build-capture,stdout:cdb078-stdout;stderr:cdb078-stderr;file:cdb078-procmacro-hir:repository:logs/compiler-observed/proc_macro/hir.txt;file:cdb078-procmacro-resolution:repository:logs/compiler-observed/proc_macro/macro_resolution.rmeta;file:cdb078-procmacro-hygiene:repository:logs/compiler-observed/proc_macro/macro_hygiene.txt,,verified,complete,Default refusal plus approved proc-macro token hashes and persisted compiler-resolution provenance are directly proven through the production CLI frontdoor.
CDB079,CDB079,Prove default refusal and approved build-script environment instructions and redacted logs,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB079,crates/codedb_build_capture/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/build_capture_cli.rs;crates/codedb_build_capture/tests/approved_build_frontdoor.rs,cargo test -p codedb --test build_capture_cli && cargo test -p codedb-build-capture,stdout:cdb079-stdout;stderr:cdb079-stderr,,verified,complete,"Default refusal plus approved build-script environment, instruction, bounded log, and receipt capture are directly proven."
CDB080,CDB080,Prove checksum-bound OUT_DIR artifact reproduction and provenance,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB080,crates/codedb_build_capture/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/build_capture_cli.rs;crates/codedb_build_capture/tests/approved_build_frontdoor.rs,cargo test -p codedb --test build_capture_cli && cargo test -p codedb-build-capture,stdout:cdb080-stdout;stderr:cdb080-stderr,,verified,complete,"Checksum-bound OUT_DIR artifacts are captured, persisted, and reproduced byte-for-byte without source mutation."
CDB081,CDB081,Prove checksum-bound symlink capture storage replay rollback and safe fallback,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB081,crates/codedb/src/main.rs;crates/codedb_core/src/lib.rs;crates/codedb_core/src/store.rs;crates/codedb_store_pg/src/lib.rs;crates/codedb_store_redb/src/lib.rs,crates/codedb/tests/symlink_capture_roundtrip.rs;crates/codedb_core/tests/materialization_paths.rs;crates/codedb_store_pg/tests/blobstore_parity.rs;crates/codedb_store_redb/src/lib.rs,cargo test -p codedb-core --test materialization_paths && cargo test -p codedb --test symlink_capture_roundtrip && cargo test -p codedb-store-redb,stdout:cdb081-stdout;stderr:cdb081-stderr,,verified,complete,Checksum-bound symlink metadata is captured and replayed as links; Bun-style relative targets round-trip; unsafe or non-UTF-8 targets fail closed before false completion; rollback preserves concurrent replacements; redb and live PostgreSQL parity are proven without regular-file coercion.
CDB082,CDB082,Prove approved dynamic native and linker facts with provenance,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB082,crates/codedb_build_capture/src/lib.rs;crates/codedb_rust_static/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/build_capture_cli.rs;crates/codedb_build_capture/tests/approved_build_frontdoor.rs,cargo test -p codedb --test build_capture_cli && cargo test -p codedb-build-capture -p codedb-rust-static,stdout:cdb082-stdout;stderr:cdb082-stderr,,verified,complete,Approved production capture emits native library/path/link facts with complete approval provenance.
CDB083,CDB083,Prove MCP raw source and blob reads remain bounded and denied,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB083,crates/codedb_mcp/src/lib.rs;crates/codedb/src/main.rs,crates/codedb_mcp/src/lib.rs;tests/test_security_no_leak.nu,cargo test -p codedb-mcp && nu --no-config-file tests/test_security_no_leak.nu,stdout:cdb083-stdout;stderr:cdb083-stderr,,verified,complete,MCP unit and live Nu protocol tests prove bounded raw-source/blob denial without sentinel leakage.
CDB084,CDB084,Prove deterministic identity and truthful instability classification,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB084,crates/codedb_rust_static/src/lib.rs;crates/codedb_core/src/lib.rs,crates/codedb_rust_static/**,cargo test -p codedb-rust-static -p codedb-core,stdout:cdb084-stdout;stderr:cdb084-stderr,,verified,complete,Repeat scans preserve named and anonymous identities while source shifts remain truthfully classified.
CDB085,CDB085,Prove HIR MIR semantic equivalence and rustdoc public-API equivalence,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB085,crates/codedb_rust_static/src/lib.rs;crates/codedb/src/main.rs,crates/codedb/tests/compiler_capture_cli.rs;crates/codedb_rust_static/src/lib.rs,cargo test -p codedb --test compiler_capture_cli && cargo test -p codedb-rust-static,stdout:cdb085-stdout;stderr:cdb085-stderr;file:cdb085-macro-mir:repository:logs/compiler-observed/macro_rules/mir.txt;file:cdb085-macro-rustdoc:repository:logs/compiler-observed/macro_rules/rustdoc_public_api.json,,verified,complete,Pinned HIR/MIR/rustdoc artifacts are repeatable; private drift changes semantic only and public signature drift changes public API.
CDB086,CDB086,Prove backend-neutral migration and unknown-schema refusal,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB086,crates/codedb_store_redb/src/lib.rs;crates/codedb_store_pg/src/lib.rs,crates/codedb_store_redb/src/lib.rs;crates/codedb_store_pg/tests/blobstore_parity.rs,cargo test -p codedb-store-redb -p codedb-store-pg --features codedb-store-pg/pg-integration,stdout:cdb086-stdout;stderr:cdb086-stderr;file:cdb086-live-pg-receipt:repository:logs/receipts/cdb086-live-pg-stdout.log,,verified,complete,redb and disposable live PostgreSQL migration/rollback/unknown-schema parity passed all 13 PostgreSQL integration cases.
CDB087,CDB087,Prove stale source plans conflict and cannot apply silently,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB087,crates/codedb_core/src/lib.rs;crates/codedb/src/main.rs,crates/codedb_core/**,cargo test -p codedb-core -p codedb,stdout:cdb087-stdout;stderr:cdb087-stderr,,verified,complete,Direct current-tree tests prove stale source-plan conflicts fail closed.
CDB088,CDB088,Prove failed materialization and apply recovery rollback or quarantine,execution/BIDIRECTIONAL_TASK_GRAPH.csv,CDB088,crates/codedb/src/main.rs;crates/codedb_core/src/lib.rs,crates/codedb_core/**,cargo test -p codedb-core -p codedb,stdout:cdb088-stdout;stderr:cdb088-stderr,,verified,complete,Direct current-tree tests prove failed apply recovery records rollback or quarantine without source loss.
